Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,77805,,,,,,189507,,,2
H2,2004,2004,2004,4,0,1,Import,626,Timor-Leste,TLS,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53901,,,,,,86508,,,2
H2,2004,2004,2004,4,0,1,Import,626,Timor-Leste,TLS,360,Indonesia,IDN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,73,,,,,,241,,,2
H2,2004,2004,2004,4,0,1,Import,626,Timor-Leste,TLS,458,Malaysia,MYS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,42,,,,,,197,,,2
H2,2004,2004,2004,4,0,1,Import,626,Timor-Leste,TLS,620,Portugal,PRT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22343,,,,,,97902,,,2
H2,2004,2004,2004,4,0,1,Import,626,Timor-Leste,TLS,699,India,IND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7,,,,,,22,,,2
H2,2004,2004,2004,4,0,1,Import,626,Timor-Leste,TLS,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1205,,,,,,3728,,,2
H2,2004,2004,2004,4,0,1,Import,626,Timor-Leste,TLS,704,Viet Nam,VNM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,226,,,,,,878,,,2
H2,2004,2004,2004,4,0,1,Import,626,Timor-Leste,TLS,764,Thailand,THA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9,,,,,,31,,,2
H2,2005,2005,2005,4,0,1,Import,626,Timor-Leste,TLS,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,100493,,,,,,327053,,,2
