Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6692038,,,,6692038,,1786847,,,2
H2,2004,2004,2004,4,0,2,Export,768,Togo,TGO,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1398062,,,,1982380,,454637,,,2
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,816,,,,816,,542,,,2
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,204,Benin,BEN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,33400,,,,33400,,6249,,,2
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1449971,,,,1449971,,752694,,,2
H2,2004,2004,2004,4,0,2,Export,768,Togo,TGO,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,615971,,,,615971,,162904,,,2
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2970,,,,2970,,3790,,,2
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,288,Ghana,GHA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,121439,,,,121439,,21850,,,2
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8820,,,,8820,,3618,,,2
H2,2004,2004,2004,4,0,2,Export,768,Togo,TGO,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,131126,,,,151560,,34534,,,2
H2,2004,2004,2004,4,0,2,Export,768,Togo,TGO,504,Morocco,MAR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,906,,,,16800,,2917,,,2
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20425,,,,20425,,11030,,,2
H2,2004,2004,2004,4,0,2,Export,768,Togo,TGO,562,Niger,NER,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,251353,,,,251353,,78422,,,2
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,19408,,,,19408,,4542,,,2
H2,2004,2004,2004,4,0,2,Export,768,Togo,TGO,702,Singapore,SGP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,703,,,,9704,,2266,,,2
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,22790,,,,22790,,7198,,,2
H2,2004,2004,2004,4,0,1,Import,768,Togo,TGO,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5011999,,,,5011999,,975333,,,2
H2,2004,2004,2004,4,0,2,Export,768,Togo,TGO,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26320,,,,34956,,8042,,,2
H2,2004,2004,2004,4,0,2,Export,768,Togo,TGO,788,Tunisia,TUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2913,,,,54000,,9384,,,2
H2,2004,2004,2004,4,0,2,Export,768,Togo,TGO,854,Burkina Faso,BFA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,368770,,,,848036,,156168,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1762326,,,,1762326,,1205760,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5677,,,,5677,,3457,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,180,Dem. Rep. of the Congo,COD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,13035,,,,13035,,7325,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,439028,,,,439028,,542060,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9808,,,,9808,,2631,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,288,Ghana,GHA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,62604,,,,62604,,20099,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1742,,,,1742,,202016,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,47722,,,,47722,,28118,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,384,Côte d'Ivoire,CIV,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,21000,,,,21000,,2951,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,20000,,,,20000,,20941,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1124506,,,,1124506,,371682,,,2
H1,2000,2000,2000,4,0,1,Import,768,Togo,TGO,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,17204,,,,17204,,4480,,,2
H1,2001,2001,2001,4,0,1,Import,768,Togo,TGO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3916392,,,,3916392,,1573512,,,2
H1,2001,2001,2001,4,0,2,Export,768,Togo,TGO,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,20580,,,,20580,,2317,,,2
H1,2001,2001,2001,4,0,1,Import,768,Togo,TGO,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2046,,,,2046,,3478,,,2
H1,2001,2001,2001,4,0,1,Import,768,Togo,TGO,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1703,,,,1703,,1976,,,2
H1,2001,2001,2001,4,0,1,Import,768,Togo,TGO,204,Benin,BEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,31615,,,,31615,,3302,,,2
H1,2001,2001,2001,4,0,1,Import,768,Togo,TGO,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,768669,,,,768669,,554246,,,2
H1,2001,2001,2001,4,0,1,Import,768,Togo,TGO,288,Ghana,GHA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,80500,,,,80500,,13231,,,2
H1,2001,2001,2001,4,0,1,Import,768,Togo,TGO,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5129,,,,5129,,365683,,,2
