Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,4,0,1,Import,776,Tonga,TON,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,22425,,,,22425,,32047,,,4
H0,2000,2000,2000,4,0,1,Import,776,Tonga,TON,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,6401,,,,6401,,11838,,,4
H0,2000,2000,2000,4,0,1,Import,776,Tonga,TON,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,45,,,,45,,302,,,4
H0,2000,2000,2000,4,0,1,Import,776,Tonga,TON,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,15979,,,,15979,,19907,,,4
H0,2001,2001,2001,4,0,1,Import,776,Tonga,TON,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,6832,,,,6832,,11544,,,4
H0,2001,2001,2001,4,0,1,Import,776,Tonga,TON,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1947,,,,1947,,2967,,,4
H0,2001,2001,2001,4,0,1,Import,776,Tonga,TON,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,106,,,,106,,376,,,4
H0,2001,2001,2001,4,0,1,Import,776,Tonga,TON,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,4756,,,,4756,,8147,,,4
H0,2001,2001,2001,4,0,1,Import,776,Tonga,TON,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,23,,,,23,,54,,,4
H0,2002,2002,2002,4,0,1,Import,776,Tonga,TON,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2447,,,,2447,,16452,,,4
H0,2002,2002,2002,4,0,1,Import,776,Tonga,TON,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,1938,,,,1938,,14647,,,4
H0,2002,2002,2002,4,0,1,Import,776,Tonga,TON,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,478,,,,478,,1714,,,4
H0,2002,2002,2002,4,0,1,Import,776,Tonga,TON,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,31,,,,31,,91,,,4
H0,2003,2003,2003,4,0,1,Import,776,Tonga,TON,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,6107,,,,6107,,20892,,,4
H0,2003,2003,2003,4,0,1,Import,776,Tonga,TON,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,3196,,,,3196,,11212,,,4
H0,2003,2003,2003,4,0,1,Import,776,Tonga,TON,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,5,,,,5,,6,,,4
H0,2003,2003,2003,4,0,1,Import,776,Tonga,TON,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,2897,,,,2897,,9623,,,4
H0,2003,2003,2003,4,0,1,Import,776,Tonga,TON,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",7,Volume in litres,9,,,,9,,51,,,4
