Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,4,0,1,Import,780,Trinidad and Tobago,TTO,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,823901,,,,823901,,2269484,,,2
H2,2004,2004,2004,4,0,2,Export,780,Trinidad and Tobago,TTO,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6313,,,,6313,,13689,,,2
H2,2004,2004,2004,4,0,1,Import,780,Trinidad and Tobago,TTO,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,264,,,,264,,1375,,,2
H2,2004,2004,2004,4,0,1,Import,780,Trinidad and Tobago,TTO,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10290,,,,10290,,27369,,,2
H2,2004,2004,2004,4,0,1,Import,780,Trinidad and Tobago,TTO,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,65619,,,,65619,,159307,,,2
H2,2004,2004,2004,4,0,2,Export,780,Trinidad and Tobago,TTO,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,44,,,,44,,592,,,2
H2,2004,2004,2004,4,0,1,Import,780,Trinidad and Tobago,TTO,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,803,,,,803,,2768,,,2
H2,2004,2004,2004,4,0,1,Import,780,Trinidad and Tobago,TTO,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,137618,,,,137618,,332796,,,2
H2,2004,2004,2004,4,0,1,Import,780,Trinidad and Tobago,TTO,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,330,,,,330,,1868,,,2
H2,2004,2004,2004,4,0,1,Import,780,Trinidad and Tobago,TTO,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,224050,,,,224050,,883767,,,2
H2,2004,2004,2004,4,0,1,Import,780,Trinidad and Tobago,TTO,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8855,,,,8855,,22643,,,2
H2,2004,2004,2004,4,0,2,Export,780,Trinidad and Tobago,TTO,308,Grenada,GRD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4076,,,,4076,,7911,,,2
