Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,4,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,194586,,,0
H0,2000,2000,2000,4,0,1,Import,796,Turks and Caicos Isds,TCA,340,Honduras,HND,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,320,,,0
H0,2000,2000,2000,4,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,194266,,,0
H0,2001,2001,2001,4,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,367609,,,0
H0,2001,2001,2001,4,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,367609,,,0
H0,2002,2002,2002,4,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,271335,,,0
H0,2002,2002,2002,4,0,1,Import,796,Turks and Caicos Isds,TCA,332,Haiti,HTI,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,30,,,0
H0,2002,2002,2002,4,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,271305,,,0
H0,2003,2003,2003,4,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,326,,,0
H0,2003,2003,2003,4,0,1,Import,796,Turks and Caicos Isds,TCA,44,Bahamas,BHS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,246,,,0
H0,2003,2003,2003,4,0,1,Import,796,Turks and Caicos Isds,TCA,214,Dominican Rep.,DOM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape mus",1,No Quantity,,,,,,,80,,,0
H2,2005,2005,2005,4,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,1379096,,3124950,,,0
H2,2005,2005,2005,4,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,1379096,,,,1379096,,3124950,,,0
H2,2006,2006,2006,4,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,1807255,,4197489,,,0
H2,2006,2006,2006,4,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,1807255,,,,1807255,,4197489,,,0
H2,2007,2007,2007,4,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,1252552,,3752848,,,0
H2,2007,2007,2007,4,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,1252552,,,,1252552,,3752848,,,0
H2,2008,2008,2008,4,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,1041489,,4739548,,,0
H2,2008,2008,2008,4,0,1,Import,796,Turks and Caicos Isds,TCA,214,Dominican Rep.,DOM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26,,,,130,,171,,,0
H2,2008,2008,2008,4,0,1,Import,796,Turks and Caicos Isds,TCA,332,Haiti,HTI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,76,,,,400,,200,,,0
H2,2008,2008,2008,4,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,725437,,,,1040959,,4739177,,,0
H2,2009,2009,2009,4,0,1,Import,796,Turks and Caicos Isds,TCA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,752091,,2503920,,,0
H2,2009,2009,2009,4,0,1,Import,796,Turks and Caicos Isds,TCA,214,Dominican Rep.,DOM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,235,,,,1065,,1113,,,0
H2,2009,2009,2009,4,0,1,Import,796,Turks and Caicos Isds,TCA,332,Haiti,HTI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,80,,40,,,0
H2,2009,2009,2009,4,0,1,Import,796,Turks and Caicos Isds,TCA,591,Panama,PAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8,,,,60,,30,,,0
H2,2009,2009,2009,4,0,1,Import,796,Turks and Caicos Isds,TCA,670,Saint Vincent and the Grenadines,VCT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,53,,,,290,,917,,,0
H2,2009,2009,2009,4,0,1,Import,796,Turks and Caicos Isds,TCA,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,387739,,,,750596,,2501820,,,0
