Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,552040201,,,,552040201,,2802564651,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,242135300,,,,,,529366327,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3731235,,,,,,7724048,,,2
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,12,Algeria,DZA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,26082,,,,26082,,58318,,,4
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6000,,,,6000,,13875,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,80564,,,,,,314607,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,20,Andorra,AND,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,80564,,,,,,314607,,,2
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4320,,,,4320,,12209,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,120636,,,,,,342869,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,28,Antigua and Barbuda,ATG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20762,,,,,,81078,,,2
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11878019,,,,11878019,,37310850,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,215471,,,,,,557400,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5330,,,,,,13751,,,2
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,111930011,,,,111930011,,489785994,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,254798,,,,,,683655,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,52518,,,,,,135488,,,2
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,438282,,,,438282,,3630315,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,55310,,,,,,142689,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,8322,,,,,,21469,,,2
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,844625,,,,,,2283550,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,44,Bahamas,BHS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9784,,,,,,25242,,,2
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3159,,,,,,8150,,,2
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,79378,,,,79378,,179393,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,165975,,,,,,373603,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,52,Barbados,BRB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1250,,,,,,4880,,,2
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,377673,,,,377673,,5677195,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,12495847,,,,,,18790986,,,2
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,732895,,,,,,2205543,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,60,Bermuda,BMU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,135510,,,,,,358782,,,2
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,68,Bolivia (Plurinational State of),BOL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,3007,,,,,,8846,,,2
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,11552,,,,11552,,52187,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,572874,,,,,,903479,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,76,Brazil,BRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,56553,,,,,,60268,,,2
H2,2002,2002,2002,4,0,1,Import,842,USA,USA,84,Belize,BLZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1125,,,,1125,,6065,,,4
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,84,Belize,BLZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,66129,,,,,,172926,,,2
H2,2002,2002,2002,4,0,3,Re-Export,842,USA,USA,84,Belize,BLZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1754,,,,,,6850,,,2
H2,2002,2002,2002,4,0,2,Export,842,USA,USA,92,Br. Virgin Isds,VGB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,58448,,,,,,155314,,,2
