Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,4,0,1,Import,800,Uganda,UGA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,74301,,,,74301,,344200,,,4
H2,2002,2002,2002,4,0,2,Export,800,Uganda,UGA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,100,,,,100,,4448,,,4
H2,2002,2002,2002,4,0,3,Re-Export,800,Uganda,UGA,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,71,,,,71,,1487,,,4
H2,2002,2002,2002,4,0,1,Import,800,Uganda,UGA,8,Albania,ALB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,480,,,,480,,232,,,4
H2,2002,2002,2002,4,0,1,Import,800,Uganda,UGA,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,216,,,,216,,1040,,,4
H2,2002,2002,2002,4,0,1,Import,800,Uganda,UGA,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,134,,,,134,,913,,,4
H2,2002,2002,2002,4,0,1,Import,800,Uganda,UGA,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,35,,,4
H2,2002,2002,2002,4,0,1,Import,800,Uganda,UGA,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,405,,,,405,,4377,,,4
H2,2002,2002,2002,4,0,2,Export,800,Uganda,UGA,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,71,,,,71,,1487,,,4
H2,2002,2002,2002,4,0,3,Re-Export,800,Uganda,UGA,178,Congo,COG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,71,,,,71,,1487,,,4
