Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,7263773,,16959399,,,0
H2,2003,2003,2003,4,0,2,Export,784,United Arab Emirates,ARE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,40477,,80169,,,0
H2,2003,2003,2003,4,0,3,Re-Export,784,United Arab Emirates,ARE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,,,,,40477,,80169,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,32,Argentina,ARG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,94556,,,,94556,,131899,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,1062831,,,,1062831,,1800094,,,0
H2,2003,2003,2003,4,0,2,Export,784,United Arab Emirates,ARE,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,3003,,,,3003,,7532,,,0
H2,2003,2003,2003,4,0,3,Re-Export,784,United Arab Emirates,ARE,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,3003,,,,3003,,7532,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,40,Austria,AUT,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,2277,,,,2277,,4846,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,48,Bahrain,BHR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,31852,,,,31852,,63495,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,51,Armenia,ARM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,814,,,,814,,3556,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,56,Belgium,BEL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,8965,,,,8965,,67664,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,100,Bulgaria,BGR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,13008,,,,13008,,10018,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,124,Canada,CAN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,958,,,,958,,5389,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,478223,,,,478223,,778890,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,861,,,,861,,1826,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,170,Colombia,COL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,702,,,,702,,2109,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,5484,,,,5484,,6310,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,3253096,,,,3253096,,9722864,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,133204,,,,133204,,269543,,,0
H2,2003,2003,2003,4,0,2,Export,784,United Arab Emirates,ARE,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,2263,,,,2263,,5233,,,0
H2,2003,2003,2003,4,0,3,Re-Export,784,United Arab Emirates,ARE,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,2263,,,,2263,,5233,,,0
H2,2003,2003,2003,4,0,1,Import,784,United Arab Emirates,ARE,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,112,,,,112,,984,,,0
H2,2003,2003,2003,4,0,2,Export,784,United Arab Emirates,ARE,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,981,,,,981,,2329,,,0
H2,2003,2003,2003,4,0,3,Re-Export,784,United Arab Emirates,ARE,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",8,Weight in kilograms,981,,,,981,,2329,,,0
