Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,483206,,,,,,724007,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,871,,,,,,898,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,196,Cyprus,CYP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2025,,,,,,5116,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,7919,,,,,,8195,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,30516,,,,,,54091,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2309,,,,,,3351,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,352,Iceland,ISL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,41,,,,,,42,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15602,,,,,,26891,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,404,Kenya,KEN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,7442,,,,,,8454,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,490,"Other Asia, nes",,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1639,,,,,,5084,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3061,,,,,,3156,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,654,Saint Helena,SHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,68,,,,,,212,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,682,Saudi Arabia,SAU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3451,,,,,,3623,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,699,India,IND,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,209,,,,,,215,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,322998,,,,,,451671,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,716,Zimbabwe,ZWE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1770,,,,,,1825,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,724,Spain,ESP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,62182,,,,,,113844,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,757,Switzerland,CHE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6635,,,,,,7171,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,784,United Arab Emirates,ARE,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1396,,,,,,1770,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,826,United Kingdom,GBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,12977,,,,,,28300,,,2
H1,2000,2000,2000,4,0,1,Import,834,United Rep. of Tanzania,TZA,842,USA,USA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,94,,,,,,97,,,2
H1,2001,2001,2001,4,0,1,Import,834,United Rep. of Tanzania,TZA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,689976,,,,689976,,889773,,,2
H1,2001,2001,2001,4,0,2,Export,834,United Rep. of Tanzania,TZA,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,150,,,,150,,205,,,2
H1,2001,2001,2001,4,0,1,Import,834,United Rep. of Tanzania,TZA,8,Albania,ALB,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,928,,,,928,,871,,,2
H1,2001,2001,2001,4,0,1,Import,834,United Rep. of Tanzania,TZA,36,Australia,AUS,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,150,,,,150,,523,,,2
H1,2001,2001,2001,4,0,1,Import,834,United Rep. of Tanzania,TZA,100,Bulgaria,BGR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,12334,,,,12334,,38519,,,2
H1,2001,2001,2001,4,0,1,Import,834,United Rep. of Tanzania,TZA,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5520,,,,5520,,2555,,,2
H1,2001,2001,2001,4,0,1,Import,834,United Rep. of Tanzania,TZA,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,894,,,,894,,8447,,,2
H1,2001,2001,2001,4,0,1,Import,834,United Rep. of Tanzania,TZA,231,Ethiopia,ETH,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,129,,,,129,,93,,,2
H1,2001,2001,2001,4,0,1,Import,834,United Rep. of Tanzania,TZA,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,37006,,,,37006,,63762,,,2
H1,2001,2001,2001,4,0,1,Import,834,United Rep. of Tanzania,TZA,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1293,,,,1293,,5489,,,2
H1,2001,2001,2001,4,0,1,Import,834,United Rep. of Tanzania,TZA,300,Greece,GRC,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,494,,,,494,,579,,,2
