Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2020,2020,2020,4,0,1,Import,860,Uzbekistan,UZB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,76762,,,,76762,,473335,,,0
H5,2020,2020,2020,4,0,2,Export,860,Uzbekistan,UZB,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,5663949,,,,5664019,,2222813,,,4
H5,2020,2020,2020,4,0,1,Import,860,Uzbekistan,UZB,36,Australia,AUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,472,,,,472,,1578,,,0
H5,2020,2020,2020,4,0,1,Import,860,Uzbekistan,UZB,152,Chile,CHL,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,5112,,,,5112,,16861,,,0
H5,2020,2020,2020,4,0,2,Export,860,Uzbekistan,UZB,233,Estonia,EST,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,299,,,,299,,568,,,0
H5,2020,2020,2020,4,0,1,Import,860,Uzbekistan,UZB,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,16311,,,,16311,,163875,,,0
H5,2020,2020,2020,4,0,1,Import,860,Uzbekistan,UZB,268,Georgia,GEO,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,19341,,,,19341,,87597,,,0
H5,2020,2020,2020,4,0,1,Import,860,Uzbekistan,UZB,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,477,,,,477,,1979,,,0
H5,2020,2020,2020,4,0,1,Import,860,Uzbekistan,UZB,348,Hungary,HUN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,285,,,,285,,1681,,,0
H5,2020,2020,2020,4,0,1,Import,860,Uzbekistan,UZB,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,28939,,,,28939,,171285,,,0
H5,2020,2020,2020,4,0,2,Export,860,Uzbekistan,UZB,392,Japan,JPN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,121,,,,121,,417,,,0
H5,2020,2020,2020,4,0,2,Export,860,Uzbekistan,UZB,398,Kazakhstan,KAZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,1774332,,,,1774332,,629743,,,0
H5,2020,2020,2020,4,0,2,Export,860,Uzbekistan,UZB,410,Rep. of Korea,KOR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading no. 2009",7,Volume in litres,32094,,,,32094,,38208,,,0
