Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14727102,,,,14727102,,25059577,,,2
H1,2000,2000,2000,4,0,2,Export,862,Venezuela,VEN,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,193591,,,,193591,,124942,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,32,Argentina,ARG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,196063,,,,196063,,465237,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,56,Belgium,BEL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,105792,,,,105792,,969240,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,76,Brazil,BRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,300,,,,300,,2956,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,100,Bulgaria,BGR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15422,,,,15422,,8831,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,124,Canada,CAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,68075,,,,68075,,70433,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,152,Chile,CHL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,6465125,,,,6465125,,10501377,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,156,China,CHN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,66430,,,,66430,,90483,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,170,Colombia,COL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,24799,,,,24799,,22678,,,2
H1,2000,2000,2000,4,0,2,Export,862,Venezuela,VEN,170,Colombia,COL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,270,,,,270,,511,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,196,Cyprus,CYP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,14786,,,,14786,,18643,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,208,Denmark,DNK,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,9,,,,9,,345,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,214,Dominican Rep.,DOM,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,3,,,,3,,4,,,2
H1,2000,2000,2000,4,0,2,Export,862,Venezuela,VEN,218,Ecuador,ECU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,34020,,,,34020,,46200,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,251,France,FRA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1468793,,,,1468793,,3373841,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,276,Germany,DEU,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1149895,,,,1149895,,1484457,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,300,Greece,GRC,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15192,,,,15192,,145009,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,344,"China, Hong Kong SAR",HKG,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,5209,,,,5209,,31335,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,381,Italy,ITA,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1128160,,,,1128160,,1587936,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,422,Lebanon,LBN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,15620,,,,15620,,28287,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,430,Liberia,LBR,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,16000,,,,16000,,33089,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,484,Mexico,MEX,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,18072,,,,18072,,43511,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,351109,,,,351109,,340263,,,2
H1,2000,2000,2000,4,0,2,Export,862,Venezuela,VEN,528,Netherlands,NLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,144000,,,,144000,,60480,,,2
H1,2000,2000,2000,4,0,2,Export,862,Venezuela,VEN,530,Neth. Antilles,ANT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,160,,,,160,,447,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,554,New Zealand,NZL,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,30,,,,30,,38,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,591,Panama,PAN,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,24034,,,,24034,,42732,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,620,Portugal,PRT,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,664349,,,,664349,,947998,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,699,India,IND,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,2,,,,2,,30,,,2
H1,2000,2000,2000,4,0,1,Import,862,Venezuela,VEN,710,South Africa,ZAF,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,8452,,,,8452,,17643,,,2
