Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2004,2004,2004,4,0,1,Import,887,Yemen,YEM,0,World,WLD,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1,,,,167,,1000,,,0
H1,2004,2004,2004,4,0,1,Import,887,Yemen,YEM,196,Cyprus,CYP,,,,,,,,2204,"Grape wines(including fortified), alcoholic grape must",7,Volume in litres,1,,,,167,,1000,,,0
H3,2009,2009,2009,4,0,1,Import,887,Yemen,YEM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1007,,,,21667,,85932,,,0
H3,2009,2009,2009,4,0,1,Import,887,Yemen,YEM,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,400,,,,9760,,38392,,,0
H3,2009,2009,2009,4,0,1,Import,887,Yemen,YEM,568,"Other Europe, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,200,,,,1000,,1929,,,0
H3,2009,2009,2009,4,0,1,Import,887,Yemen,YEM,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,200,,,,9997,,40942,,,0
H3,2009,2009,2009,4,0,1,Import,887,Yemen,YEM,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,207,,,,910,,4669,,,0
H3,2010,2010,2010,4,0,1,Import,887,Yemen,YEM,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,16171,,,,16265,,72283,,,0
H3,2010,2010,2010,4,0,1,Import,887,Yemen,YEM,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,1500,,,,1594,,9745,,,0
H3,2010,2010,2010,4,0,1,Import,887,Yemen,YEM,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,85,,,,85,,684,,,0
H3,2010,2010,2010,4,0,1,Import,887,Yemen,YEM,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,2098,,,,2098,,11523,,,0
H3,2010,2010,2010,4,0,1,Import,887,Yemen,YEM,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines; grape must other than that of heading 20.09.",7,Volume in litres,12488,,,,12488,,50331,,,0
