Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,1814132,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,63760,,,,63760,,122379,,,2
H2,2003,2003,2003,4,0,3,Re-Export,716,Zimbabwe,ZWE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2218,,,,2218,,6310,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,72,Botswana,BWA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,2730,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,72,Botswana,BWA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,900,,,,900,,1296,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1886,,,,1886,,1239,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,180,Dem. Rep. of the Congo,COD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9716,,,,9716,,16099,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1000,,,,1000,,283,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,208,Denmark,DNK,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,5400,,,,5400,,7617,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,212,Dominica,DMA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1800,,,,1800,,2354,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,251,France,FRA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,300,,,,300,,1327,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,381,Italy,ITA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,150,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,454,Malawi,MWI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,33413,,,,33413,,66464,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,508,Mozambique,MOZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2700,,,,2700,,3859,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,516,Namibia,NAM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,987,,,,987,,319,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,1742900,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,198,,,,198,,317,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,818,Egypt,EGY,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,116,,,,116,,193,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,30812,,,,30812,,56709,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2398,,,,2398,,6607,,,2
H2,2003,2003,2003,4,0,3,Re-Export,716,Zimbabwe,ZWE,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,2218,,,,2218,,6310,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,839,Special Categories,,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,7419,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,842,USA,USA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,264,,,,264,,35,,,2
H2,2003,2003,2003,4,0,2,Export,716,Zimbabwe,ZWE,894,Zambia,ZMB,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,7119,,,,7119,,17568,,,2
H2,2003,2003,2003,4,0,1,Import,716,Zimbabwe,ZWE,899,"Areas, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,448,,,,448,,1016,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,716143,,,2
H2,2004,2004,2004,4,0,2,Export,716,Zimbabwe,ZWE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,148328,,,,148328,,210794,,,2
H2,2004,2004,2004,4,0,3,Re-Export,716,Zimbabwe,ZWE,0,World,WLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,60172,,,,60172,,89991,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,72,Botswana,BWA,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,15167,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,156,China,CHN,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1293,,,,1293,,1174,,,2
H2,2004,2004,2004,4,0,2,Export,716,Zimbabwe,ZWE,180,Dem. Rep. of the Congo,COD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9358,,,,9358,,10698,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,231,Ethiopia,ETH,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,136,,,,136,,30,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,6,,,,6,,42,,,2
H2,2004,2004,2004,4,0,2,Export,716,Zimbabwe,ZWE,276,Germany,DEU,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1620,,,,1620,,12385,,,2
H2,2004,2004,2004,4,0,2,Export,716,Zimbabwe,ZWE,454,Malawi,MWI,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10909,,,,10909,,29212,,,2
H2,2004,2004,2004,4,0,2,Export,716,Zimbabwe,ZWE,480,Mauritius,MUS,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,4500,,,,4500,,7721,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,490,"Other Asia, nes",,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,51,,,0
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,508,Mozambique,MOZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,1576,,,2
H2,2004,2004,2004,4,0,2,Export,716,Zimbabwe,ZWE,508,Mozambique,MOZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9332,,,,9332,,7009,,,2
H2,2004,2004,2004,4,0,3,Re-Export,716,Zimbabwe,ZWE,508,Mozambique,MOZ,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,562,,,,562,,968,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,516,Namibia,NAM,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,987,,,,987,,333,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,528,Netherlands,NLD,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,258,,,,258,,817,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",1,No Quantity,0,,,,0,,627321,,,2
H2,2004,2004,2004,4,0,2,Export,716,Zimbabwe,ZWE,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,10291,,,,10291,,7802,,,2
H2,2004,2004,2004,4,0,3,Re-Export,716,Zimbabwe,ZWE,710,South Africa,ZAF,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,9803,,,,9803,,4401,,,2
H2,2004,2004,2004,4,0,2,Export,716,Zimbabwe,ZWE,724,Spain,ESP,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,1038,,,,1038,,788,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,804,Ukraine,UKR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,98,,,,98,,413,,,2
H2,2004,2004,2004,4,0,1,Import,716,Zimbabwe,ZWE,826,United Kingdom,GBR,,,,,,,,2204,"Wine of fresh grapes, including fortified wines",7,Volume in litres,20119,,,,20119,,51967,,,2
